station,start,end,n_total,n_2022_plus,has_pre_2022,record_type,error
ASOSAWOS_72362723081,1980-01-01,2026-06-09,407081,38897,True,full,
ASOSAWOS_72364703034,2006-01-01,2026-06-09,179153,38897,True,full,
ASOSAWOS_72365023050,1980-01-01,2026-06-09,407081,38897,True,full,
ASOSAWOS_72365493091,2006-01-01,2022-08-31,146088,5832,True,full,
ASOSAWOS_72365623049,1980-01-01,2026-06-09,407081,38897,True,full,
ASOSAWOS_72365823090,1980-01-01,2026-06-09,407081,38897,True,full,
ASOSAWOS_72366303012,2006-01-01,2022-08-31,146088,5832,True,full,
ASOSAWOS_72367593092,2006-01-01,2012-09-30,59144,0,True,baseline_only,
ASOSAWOS_72367623048,1980-01-01,2026-06-09,407081,38897,True,full,
ASOSAWOS_72367723054,1980-01-01,2026-06-09,407081,38897,True,full,
ASOSAWOS_72367823052,1980-01-16,2026-06-09,49507,38898,True,full,
ASOSAWOS_72370093167,1999-01-01,2026-06-09,240521,38897,True,full,
ASOSAWOS_72371003162,2006-01-01,2026-06-09,179153,38897,True,full,
ASOSAWOS_72372123184,1980-01-01,2026-06-09,135329,38897,True,full,
ASOSAWOS_72372323184,1991-01-01,2026-06-09,310649,38897,True,full,
ASOSAWOS_72374023194,1980-01-01,2026-06-09,407081,38897,True,full,
ASOSAWOS_72374500374,2010-01-15,2022-08-31,110666,5832,True,full,
ASOSAWOS_72375003103,1980-01-01,2022-08-31,374016,5832,True,full,
ASOSAWOS_72375493027,2006-01-01,2022-06-11,144127,3871,True,full,
ASOSAWOS_72375503103,2022-01-01,2026-06-09,38897,38897,False,append_only,
ASOSAWOS_72375600375,2009-03-02,2026-06-09,151391,38898,True,full,
ASOSAWOS_72376293244,2006-01-05,2022-08-31,145977,5832,True,full,
ASOSAWOS_72378303195,2006-01-01,2026-06-09,179153,38897,True,full,
ASOSAWOS_72378853135,2006-01-01,2026-06-09,179139,38897,True,full,
ASOSAWOS_72380523179,1980-01-01,2026-06-09,407081,38897,True,full,
ASOSAWOS_72381523161,1980-01-01,2026-06-09,407081,38897,True,full,
ASOSAWOS_72381603159,1980-01-01,2026-06-09,407081,38897,True,full,
ASOSAWOS_72382023182,1980-01-01,2026-06-09,407081,38897,True,full,
ASOSAWOS_72382523131,1980-01-01,2026-06-09,407082,38898,True,full,
ASOSAWOS_72383023187,1980-01-01,2026-06-09,407081,38897,True,full,
ASOSAWOS_72384023155,1980-01-01,2022-08-31,374016,5832,True,full,
ASOSAWOS_72386023169,1980-01-01,2022-08-31,374016,5832,True,full,
ASOSAWOS_72387003160,1980-01-01,2026-06-09,407081,38897,True,full,
ASOSAWOS_72389093193,1980-01-01,2026-06-09,407081,38897,True,full,
ASOSAWOS_72389523149,2006-01-01,2026-06-09,179153,38897,True,full,
ASOSAWOS_72389693144,2006-01-01,2026-06-09,179147,38897,True,full,
ASOSAWOS_72389723167,1995-04-23,2026-06-09,59129,37917,True,full,
ASOSAWOS_72389853119,2006-01-01,2026-06-09,179153,38897,True,full,
ASOSAWOS_72390093226,1998-02-02,2005-06-07,64382,0,True,baseline_only,
ASOSAWOS_72391093111,1980-01-01,2026-06-09,407081,38897,True,full,
ASOSAWOS_72392523190,1980-01-01,2026-06-09,407081,38897,True,full,
ASOSAWOS_72392623136,2005-01-01,2022-08-31,154848,5832,True,full,
ASOSAWOS_72392793110,1980-01-01,2026-06-09,407081,38897,True,full,
ASOSAWOS_72393093214,2006-01-01,2026-06-09,179154,38898,True,full,
ASOSAWOS_72394023273,1980-01-01,2022-08-31,374016,5832,True,full,
ASOSAWOS_72396593209,1980-01-01,2026-06-09,407081,38897,True,full,
ASOSAWOS_72429300376,2005-03-22,2014-07-21,81798,0,True,baseline_only,
ASOSAWOS_72462023061,1980-01-01,2026-06-09,407081,38897,True,full,
ASOSAWOS_72462593005,2006-01-01,2026-06-09,179153,38897,True,full,
ASOSAWOS_72462703011,2006-01-01,2022-08-31,146088,5832,True,full,
ASOSAWOS_72463523067,1980-01-01,2022-08-31,374016,5832,True,full,
ASOSAWOS_72463603013,2006-01-01,2026-06-09,179153,38897,True,full,
ASOSAWOS_72464093058,1980-01-01,2026-06-09,407081,38897,True,full,
ASOSAWOS_72464523070,1980-01-01,2026-06-09,407082,38898,True,full,
ASOSAWOS_72464603028,2006-01-01,2022-08-31,146088,5832,True,full,
ASOSAWOS_72466093037,1980-01-01,2026-06-09,407081,38897,True,full,
ASOSAWOS_72466593010,1980-01-01,2026-06-09,407081,38897,True,full,
ASOSAWOS_72466693067,2006-01-01,2026-06-09,179153,38897,True,full,
ASOSAWOS_72467003017,1980-01-02,2026-06-09,165155,38897,True,full,
ASOSAWOS_72467393009,2006-01-01,2026-06-09,179153,38897,True,full,
ASOSAWOS_72467494050,2006-01-01,2026-06-09,179153,38897,True,full,
ASOSAWOS_72467523063,1980-01-01,2026-06-09,407081,38897,True,full,
ASOSAWOS_72467693073,2006-01-01,2026-06-09,179153,38897,True,full,
ASOSAWOS_72467793007,2002-09-02,2026-06-09,208355,38897,True,full,
ASOSAWOS_72467894033,2011-02-14,2026-06-09,134253,38898,True,full,
ASOSAWOS_72468094015,1980-01-02,2026-06-09,407043,38898,True,full,
ASOSAWOS_72468903026,2006-01-01,2026-06-09,179153,38897,True,full,
ASOSAWOS_72469400450,2005-12-03,2026-06-09,162991,38896,True,full,
ASOSAWOS_72469824015,1980-01-01,2026-06-09,407081,38897,True,full,
ASOSAWOS_72469903065,2006-01-01,2026-06-09,179153,38897,True,full,
ASOSAWOS_72470093141,2006-01-01,2026-06-09,179153,38897,True,full,
ASOSAWOS_72475023176,2005-01-01,2026-06-09,187912,38896,True,full,
ASOSAWOS_72475423186,2006-01-01,2022-08-31,146088,5832,True,full,
ASOSAWOS_72475593129,1980-01-01,2026-06-09,407081,38897,True,full,
ASOSAWOS_72475623159,1980-01-01,2026-06-09,407066,38897,True,full,
ASOSAWOS_72475723176,2022-01-01,2026-06-09,38896,38896,False,append_only,
ASOSAWOS_72476023066,1980-01-01,2026-06-09,407082,38898,True,full,
ASOSAWOS_72476593013,2006-01-01,2026-06-09,179153,38897,True,full,
ASOSAWOS_72476793069,2006-01-01,2026-06-09,179153,38897,True,full,
ASOSAWOS_72476824051,2006-01-01,2026-06-09,179153,38897,True,full,
ASOSAWOS_72476994035,2006-01-01,2022-08-31,146088,5832,True,full,
ASOSAWOS_72477003170,2006-01-01,2026-06-09,179153,38897,True,full,
ASOSAWOS_72477693075,2006-01-01,2026-06-09,179153,38897,True,full,
ASOSAWOS_72479694128,1999-01-01,2022-08-31,207456,5832,True,full,
ASOSAWOS_72479723176,1980-01-01,2026-06-09,407080,38896,True,full,
ASOSAWOS_72480023157,1980-01-01,2026-06-09,407081,38897,True,full,
ASOSAWOS_72481523257,2006-01-01,2026-06-09,179153,38897,True,full,
ASOSAWOS_72482893241,2006-01-01,2026-06-09,179153,38897,True,full,
ASOSAWOS_72483023232,1980-01-01,2026-06-09,407081,38897,True,full,
ASOSAWOS_72483323206,1980-01-01,2026-06-09,407082,38898,True,full,
ASOSAWOS_72483523206,2022-01-01,2026-06-09,38898,38898,False,append_only,
ASOSAWOS_72483893205,2006-01-01,2022-08-31,146088,5832,True,full,
ASOSAWOS_72484653123,2006-01-01,2026-06-09,179153,38897,True,full,
ASOSAWOS_72485523153,1980-01-01,2022-08-31,374016,5832,True,full,
ASOSAWOS_72486023154,1980-01-01,2026-06-09,407081,38897,True,full,
ASOSAWOS_72488023185,1980-01-01,2022-08-31,374016,5832,True,full,
ASOSAWOS_72488593102,1980-01-01,2026-06-09,407081,38897,True,full,
ASOSAWOS_72491523259,2006-01-01,2026-06-09,179153,38897,True,full,
ASOSAWOS_72491723233,1980-01-01,2026-06-09,306985,38897,True,full,
ASOSAWOS_72492023237,1980-01-01,2026-06-09,407081,38897,True,full,
ASOSAWOS_72492623258,1980-01-01,2022-08-31,374016,5832,True,full,
ASOSAWOS_72492723285,2000-01-01,2026-06-09,231761,38897,True,full,
ASOSAWOS_72493023230,1980-01-01,2026-06-09,407081,38897,True,full,
ASOSAWOS_72493623254,1980-01-01,2010-07-31,268080,0,True,baseline_only,
ASOSAWOS_72494023234,1980-01-01,2026-06-09,407081,38897,True,full,
ASOSAWOS_72494523293,1980-01-01,2026-06-09,407082,38898,True,full,
ASOSAWOS_72495023254,2010-08-01,2026-06-09,139001,38897,True,full,
ASOSAWOS_72495593227,2000-01-01,2022-08-31,198696,5832,True,full,
ASOSAWOS_72495723213,2000-01-01,2026-06-09,231761,38897,True,full,
ASOSAWOS_72564024018,1980-01-01,2026-06-09,407081,38897,True,full,
ASOSAWOS_72564524022,1980-01-01,2026-06-09,407081,38897,True,full,
ASOSAWOS_72565003017,1994-07-18,2026-06-09,279586,38897,True,full,
ASOSAWOS_72568694057,2006-01-01,2026-06-09,179153,38897,True,full,
ASOSAWOS_72569024089,1980-01-01,2026-06-09,407081,38897,True,full,
ASOSAWOS_72570024046,2006-01-01,2022-08-31,146088,5832,True,full,
ASOSAWOS_72570594030,2006-01-01,2026-06-09,179153,38897,True,full,
ASOSAWOS_72571094025,2005-01-01,2026-06-09,187913,38897,True,full,
ASOSAWOS_72571594025,2022-01-01,2026-06-09,38897,38897,False,append_only,
ASOSAWOS_72571703016,2006-01-01,2022-08-31,146088,5832,True,full,
ASOSAWOS_72572024127,1980-01-01,2026-06-09,407081,38897,True,full,
ASOSAWOS_72572424174,2006-01-01,2026-06-09,179154,38898,True,full,
ASOSAWOS_72574024027,2022-01-01,2026-06-09,38897,38897,False,append_only,
ASOSAWOS_72574124027,1980-01-01,2026-06-09,135329,38897,True,full,
ASOSAWOS_72574424027,1991-01-01,2026-06-09,310649,38897,True,full,
ASOSAWOS_72574524057,1980-01-01,2026-06-08,306943,38863,True,full,
ASOSAWOS_72576024021,1980-01-01,2022-08-31,374016,5832,True,full,
ASOSAWOS_72576394053,2006-01-01,2026-06-09,179153,38897,True,full,
ASOSAWOS_72576524061,1980-01-01,2026-06-09,277752,38897,True,full,
ASOSAWOS_72577504111,1980-01-02,2022-08-31,373991,5832,True,full,
ASOSAWOS_72577624166,2006-01-01,2022-08-31,146088,5832,True,full,
ASOSAWOS_72578024156,1980-01-01,2026-06-09,407081,38897,True,full,
ASOSAWOS_72578404109,2006-01-01,2026-06-09,179153,38897,True,full,
ASOSAWOS_72578524145,1980-01-01,2026-06-09,407082,38898,True,full,
ASOSAWOS_72578894182,2009-01-01,2026-06-09,47658,38898,True,full,
ASOSAWOS_72580524172,1980-01-01,2026-06-08,407047,38863,True,full,
ASOSAWOS_72581024193,1980-01-01,2026-06-09,407081,38897,True,full,
ASOSAWOS_72582403170,2022-01-01,2026-06-09,38897,38897,False,append_only,
ASOSAWOS_72582524121,1980-01-01,2022-08-31,374016,5832,True,full,
ASOSAWOS_72583024128,1980-01-01,2026-06-09,407081,38897,True,full,
ASOSAWOS_72584523225,1980-01-01,2022-08-31,374016,5832,True,full,
ASOSAWOS_72584693201,2006-01-01,2026-06-09,179152,38897,True,full,
ASOSAWOS_72584793230,2000-01-01,2026-06-09,231760,38897,True,full,
ASOSAWOS_72585093228,2000-01-01,2026-06-09,231762,38898,True,full,
ASOSAWOS_72586124142,1980-01-01,1982-05-31,21163,0,True,baseline_only,
ASOSAWOS_72586494182,2005-01-01,2026-06-09,187914,38898,True,full,
ASOSAWOS_72586694178,2006-01-01,2022-08-31,146088,5832,True,full,
ASOSAWOS_72586724133,1980-01-01,2026-06-09,407082,38898,True,full,
ASOSAWOS_72586894184,2006-01-01,2012-09-28,59077,0,True,baseline_only,
ASOSAWOS_72589594236,1980-01-01,2022-08-31,374016,5832,True,full,
ASOSAWOS_72590523275,1980-01-01,2026-06-09,407082,38898,True,full,
ASOSAWOS_72591024216,1980-01-01,2026-06-09,407081,38897,True,full,
ASOSAWOS_72591524257,1980-01-01,2026-06-09,144089,38897,True,full,
ASOSAWOS_72592024257,1992-01-01,2026-06-09,301889,38897,True,full,
ASOSAWOS_72593023233,2005-01-01,2026-06-09,187913,38897,True,full,
ASOSAWOS_72594524283,1980-01-01,2026-06-09,407081,38897,True,full,
ASOSAWOS_72594624286,1980-01-01,2026-06-09,407081,38897,True,full,
ASOSAWOS_72595524259,1980-01-01,2026-06-09,407081,38897,True,full,
ASOSAWOS_72595724215,1980-01-01,2026-06-09,407081,38897,True,full,
ASOSAWOS_72595894299,2006-01-01,2022-08-31,146088,5832,True,full,
ASOSAWOS_72597024225,1980-01-01,2026-06-09,407081,38897,True,full,
ASOSAWOS_72597524235,1980-01-01,2026-06-09,407082,38898,True,full,
ASOSAWOS_72597694285,2006-01-01,2026-06-09,179153,38897,True,full,
ASOSAWOS_72598524267,2022-01-01,2026-06-09,38897,38897,False,append_only,
ASOSAWOS_72639100385,2005-06-11,2026-06-09,184028,38898,True,full,
ASOSAWOS_72639200424,2005-06-11,2026-06-09,184028,38898,True,full,
ASOSAWOS_72639600422,2005-06-11,2022-08-31,150962,5832,True,full,
ASOSAWOS_72665094023,2006-01-01,2026-06-09,179153,38897,True,full,
ASOSAWOS_72665494054,2006-01-01,2026-06-09,179153,38897,True,full,
ASOSAWOS_72666024029,1980-01-01,2026-06-09,407081,38897,True,full,
ASOSAWOS_72666494173,1980-08-12,2026-06-09,401689,38897,True,full,
ASOSAWOS_72666524062,2000-01-01,2022-08-31,198696,5832,True,full,
ASOSAWOS_72666724048,2006-01-01,2026-06-09,179153,38897,True,full,
ASOSAWOS_72667524037,1980-01-01,1983-12-31,35064,0,True,baseline_only,
ASOSAWOS_72667624087,2006-01-01,2026-06-09,179153,38897,True,full,
ASOSAWOS_72669024057,2010-08-01,2026-06-08,138967,38863,True,full,
ASOSAWOS_72670024045,2006-01-01,2026-06-09,179153,38897,True,full,
ASOSAWOS_72671024164,1999-01-01,2022-08-31,207456,5832,True,full,
ASOSAWOS_72672024061,2007-04-01,2026-06-09,168233,38897,True,full,
ASOSAWOS_72676324198,2006-01-03,2007-10-19,15688,0,True,baseline_only,
ASOSAWOS_72676494163,2006-06-08,2022-08-31,142283,5832,True,full,
ASOSAWOS_72677024033,1980-01-01,2026-06-09,407081,38897,True,full,
ASOSAWOS_72677624036,1980-01-01,2026-06-09,407066,38882,True,full,
ASOSAWOS_72677794055,2006-01-01,2026-06-09,179153,38897,True,full,
ASOSAWOS_72678524135,1980-01-01,2026-06-09,306984,38897,True,full,
ASOSAWOS_72679624138,1980-01-01,2026-06-09,306982,38897,True,full,
ASOSAWOS_72679724132,1980-01-01,2026-06-09,407081,38897,True,full,
ASOSAWOS_72679824150,1980-01-01,2022-08-31,374016,5832,True,full,
ASOSAWOS_72681024131,1980-01-01,2026-06-09,407081,38897,True,full,
ASOSAWOS_72681394195,2006-01-01,2026-06-09,179153,38897,True,full,
ASOSAWOS_72681604110,2006-01-01,2026-06-09,179153,38897,True,full,
ASOSAWOS_72681724154,1996-07-02,2022-08-31,229361,5832,True,full,
ASOSAWOS_72681894194,1999-01-02,2026-06-09,240492,38898,True,full,
ASOSAWOS_72682404112,1999-01-02,2026-06-09,240491,38897,True,full,
ASOSAWOS_72683094185,1980-01-01,2026-06-09,407081,38897,True,full,
ASOSAWOS_72683524230,1980-01-01,2026-06-09,306985,38897,True,full,
ASOSAWOS_72683604201,2006-01-01,2022-08-31,146088,5832,True,full,
ASOSAWOS_72683724162,1984-06-29,2026-06-09,367677,38897,True,full,
ASOSAWOS_72683894185,1981-01-01,2026-06-09,126545,38897,True,full,
ASOSAWOS_72683994196,2006-01-02,2006-11-22,7782,0,True,baseline_only,
ASOSAWOS_72686524196,2006-01-01,2022-08-31,146088,5832,True,full,
ASOSAWOS_72687300452,2011-03-25,2026-06-09,133322,38898,True,full,
ASOSAWOS_72687594107,1998-03-02,2026-06-09,247835,38897,True,full,
ASOSAWOS_72687600387,2005-01-03,2026-06-09,187850,38898,True,full,
ASOSAWOS_72688024155,1980-01-01,2026-06-09,407081,38897,True,full,
ASOSAWOS_72688194273,2006-01-01,2026-06-09,179153,38897,True,full,
ASOSAWOS_72688304113,2006-01-01,2026-06-09,179153,38897,True,full,
ASOSAWOS_72688424148,1988-05-06,2026-06-09,333911,38897,True,full,
ASOSAWOS_72688524152,1980-01-01,2022-08-31,374016,5832,True,full,
ASOSAWOS_72688624130,1980-01-01,2026-06-09,407081,38897,True,full,
ASOSAWOS_72690124231,1980-01-01,1980-04-30,2904,0,True,baseline_only,
ASOSAWOS_72690424231,1980-05-14,2026-06-09,403851,38898,True,full,
ASOSAWOS_72691724284,1980-01-01,2026-06-09,407080,38896,True,full,
ASOSAWOS_72692024230,2005-01-01,2026-06-09,187913,38897,True,full,
ASOSAWOS_72693024221,1980-01-01,2022-08-31,374016,5832,True,full,
ASOSAWOS_72694024232,1980-01-01,2022-08-31,374016,5832,True,full,
ASOSAWOS_72694524202,2006-01-01,2022-08-31,146088,5832,True,full,
ASOSAWOS_72695024285,1980-01-01,2022-08-31,374014,5832,True,full,
ASOSAWOS_72695994281,2006-01-01,2026-06-09,179153,38897,True,full,
ASOSAWOS_72698024229,1980-01-01,2026-06-09,407081,38897,True,full,
ASOSAWOS_72698524242,2006-01-01,2026-06-09,179154,38898,True,full,
ASOSAWOS_72698694261,2006-01-01,2026-06-09,179152,38896,True,full,
ASOSAWOS_72698824219,1980-01-01,2026-06-09,407081,38897,True,full,
ASOSAWOS_72768094008,1980-01-01,2026-06-09,407081,38897,True,full,
ASOSAWOS_72768494051,2006-01-01,2026-06-09,179153,38897,True,full,
ASOSAWOS_72768694017,2006-01-01,2026-06-09,179153,38897,True,full,
ASOSAWOS_72768794028,2006-01-01,2026-06-09,179153,38897,True,full,
